# Gong 2021 Fig 3A-E — Cytotoxicity of 7D12-NK92MI vs NK92MI across 5 EGFR+ cell lines
# Y-axis: Cytotoxicity (%) — LDH release assay
# E:T ratios: 1:5, 1:1, 5:1
# Source: Gong et al. 2021, Small, Fig 3A-E
# Digitized from uploaded image. Mean +/- SD from 3 independent experiments.
# EGFR expression levels from literature: LoVo (moderate), MDA-MB-468 (high),
#   A431 (very high), A549 (low-moderate), RKO (low)
# Relevance: antigen-density threshold for click-armed NK enhancement
#
# FLAG: bars at 1:5 are very small (1-11%), digitization ±2% uncertain.
# Sa should verify 1:5 values against supplementary data if available.
#
cell_line,EGFR_level,group,ET_ratio,cytotoxicity_pct,cyto_SD,significance
LoVo,moderate,NK92MI,1:5,4,1.5,ns
LoVo,moderate,7D12-NK92MI,1:5,5,2.0,ns
LoVo,moderate,NK92MI,1:1,10,2.0,**
LoVo,moderate,7D12-NK92MI,1:1,17,3.0,**
LoVo,moderate,NK92MI,5:1,17,2.5,*
LoVo,moderate,7D12-NK92MI,5:1,30,4.0,*
MDA-MB-468,high,NK92MI,1:5,5,2.0,ns
MDA-MB-468,high,7D12-NK92MI,1:5,10,3.0,ns
MDA-MB-468,high,NK92MI,1:1,12,3.0,**
MDA-MB-468,high,7D12-NK92MI,1:1,28,5.0,**
MDA-MB-468,high,NK92MI,5:1,25,5.0,*
MDA-MB-468,high,7D12-NK92MI,5:1,35,5.0,*
A431,very_high,NK92MI,1:5,1,1.0,ns
A431,very_high,7D12-NK92MI,1:5,1,1.0,ns
A431,very_high,NK92MI,1:1,3,1.5,**
A431,very_high,7D12-NK92MI,1:1,6,2.0,**
A431,very_high,NK92MI,5:1,11,2.0,****
A431,very_high,7D12-NK92MI,5:1,22,3.0,****
A549,low_moderate,NK92MI,1:5,2,1.5,***
A549,low_moderate,7D12-NK92MI,1:5,6,2.0,***
A549,low_moderate,NK92MI,1:1,3,1.5,***
A549,low_moderate,7D12-NK92MI,1:1,7,2.0,***
A549,low_moderate,NK92MI,5:1,10,2.0,*
A549,low_moderate,7D12-NK92MI,5:1,13,3.0,*
RKO,low,NK92MI,1:5,7,2.0,ns
RKO,low,7D12-NK92MI,1:5,11,3.0,ns
RKO,low,NK92MI,1:1,10,2.5,*
RKO,low,7D12-NK92MI,1:1,18,3.0,*
RKO,low,NK92MI,5:1,18,3.0,**
RKO,low,7D12-NK92MI,5:1,24,4.0,**
