cell_line,gc_thickness_nm,gc_error_nm,cytotoxicity_pct,cytotoxicity_error_pct
1E7_WT,102,7.17,58.5,5.535
1E7_WT,118,5.283,25,4.948
1E7_WT,127,7.422,11.57,5.115
1E7_GCNT1_OE,100.4,7.044,51.3,5.786
1E7_GCNT1_OE,126.7,8.553,16.7,2.264
1E7_GCNT1_OE,134.5,13.459,8.4,3.857
1E7_LGALS3_OE,106.7,7.17,55.2,10.566
1E7_LGALS3_OE,114.7,8.931,30.4,6.289
1E7_LGALS3_OE,121.2,5.283,13.0,1.929
1E7_C1GALT1_KO,76,5.409,64.2,6.289
1E7_C1GALT1_KO,91.87,14.088,55.34,2.013
1E7_C1GALT1_KO,101.1,14.591,39.58,8.47
1E7_GNE_KO,77.3,4.906,65.9,9.14
1E7_GNE_KO,104.4,8.553,42.09,9.979
1E7_GNE_KO,110.8,7.296,16.4,6.457
