group,cell_line,condition,contact_duration_min
NK_MDA,MDA-MB-231,NK,0
NK_MDA,MDA-MB-231,NK,2
NK_MDA,MDA-MB-231,NK,5
NK_MDA,MDA-MB-231,NK,7
NK_MDA,MDA-MB-231,NK,10
NK_MDA,MDA-MB-231,NK,12
NK_MDA,MDA-MB-231,NK,15
NK_MDA,MDA-MB-231,NK,18
NK_MDA,MDA-MB-231,NK,20
NK_MDA,MDA-MB-231,NK,25
NK_MDA,MDA-MB-231,NK,30
NK_MDA,MDA-MB-231,NK,35
NK_MDA,MDA-MB-231,NK,40
NK_MDA,MDA-MB-231,NK,45
NK_MDA,MDA-MB-231,NK,50
NK_MDA,MDA-MB-231,NK,60
NK_MDA,MDA-MB-231,NK,65
NK_MDA,MDA-MB-231,NK,85
NK_MDA,MDA-MB-231,NK,100
NK_MDA,MDA-MB-231,NK,120
pMNK_MDA,MDA-MB-231,pM-NK,0
pMNK_MDA,MDA-MB-231,pM-NK,3
pMNK_MDA,MDA-MB-231,pM-NK,5
pMNK_MDA,MDA-MB-231,pM-NK,8
pMNK_MDA,MDA-MB-231,pM-NK,10
pMNK_MDA,MDA-MB-231,pM-NK,15
pMNK_MDA,MDA-MB-231,pM-NK,20
pMNK_MDA,MDA-MB-231,pM-NK,30
pMNK_MDA,MDA-MB-231,pM-NK,40
pMNK_MDA,MDA-MB-231,pM-NK,50
pMNK_MDA,MDA-MB-231,pM-NK,60
pMNK_MDA,MDA-MB-231,pM-NK,65
pMNK_MDA,MDA-MB-231,pM-NK,70
pMNK_MDA,MDA-MB-231,pM-NK,75
pMNK_MDA,MDA-MB-231,pM-NK,80
pMNK_MDA,MDA-MB-231,pM-NK,85
pMNK_MDA,MDA-MB-231,pM-NK,90
pMNK_MDA,MDA-MB-231,pM-NK,100
pMNK_MDA,MDA-MB-231,pM-NK,110
pMNK_MDA,MDA-MB-231,pM-NK,120
NK_HeLa,HeLa,NK,0
NK_HeLa,HeLa,NK,2
NK_HeLa,HeLa,NK,3
NK_HeLa,HeLa,NK,5
NK_HeLa,HeLa,NK,7
NK_HeLa,HeLa,NK,10
NK_HeLa,HeLa,NK,12
NK_HeLa,HeLa,NK,15
NK_HeLa,HeLa,NK,18
NK_HeLa,HeLa,NK,20
NK_HeLa,HeLa,NK,25
NK_HeLa,HeLa,NK,30
NK_HeLa,HeLa,NK,35
NK_HeLa,HeLa,NK,60
NK_HeLa,HeLa,NK,70
NK_HeLa,HeLa,NK,80
NK_HeLa,HeLa,NK,90
NK_HeLa,HeLa,NK,95
NK_HeLa,HeLa,NK,100
NK_HeLa,HeLa,NK,120
pMNK_HeLa,HeLa,pM-NK,0
pMNK_HeLa,HeLa,pM-NK,2
pMNK_HeLa,HeLa,pM-NK,4
pMNK_HeLa,HeLa,pM-NK,6
pMNK_HeLa,HeLa,pM-NK,8
pMNK_HeLa,HeLa,pM-NK,10
pMNK_HeLa,HeLa,pM-NK,12
pMNK_HeLa,HeLa,pM-NK,15
pMNK_HeLa,HeLa,pM-NK,18
pMNK_HeLa,HeLa,pM-NK,20
pMNK_HeLa,HeLa,pM-NK,30
pMNK_HeLa,HeLa,pM-NK,40
pMNK_HeLa,HeLa,pM-NK,50
pMNK_HeLa,HeLa,pM-NK,60
pMNK_HeLa,HeLa,pM-NK,70
pMNK_HeLa,HeLa,pM-NK,80
pMNK_HeLa,HeLa,pM-NK,90
pMNK_HeLa,HeLa,pM-NK,95
pMNK_HeLa,HeLa,pM-NK,100
pMNK_HeLa,HeLa,pM-NK,120
